央视频道,#genre#
CCTV高尔夫网球,http://121.29.141.230:4022/rtp/239.253.93.122:6465
CCTV文化精品,http://60.26.181.87:4022/udp/225.1.2.177:5002
CCTV文化精品,http://180.213.174.225:9901/tsfile/live/1053_1.m3u8
CCTV世界地理,http://27.189.126.35:4022/rtp/239.254.201.226:7254
CCTV女性时尚,http://121.29.141.230:4022/rtp/239.253.92.144:6114
CCTV第一剧场,http://27.189.126.35:4022/rtp/239.254.201.218:7258
CCTV第一剧场,http://113.9.31.17:4000/rtp/229.58.190.21:5000
CCTV女性时尚,http://27.189.126.35:4022/rtp/239.254.201.228:7255
CCTV风云足球,http://27.189.126.35:4022/rtp/239.254.201.222:7251
CCTV风云足球,http://121.29.141.230:4022/rtp/239.253.93.254:6432
CCTV世界地理,http://60.26.181.87:4022/udp/225.1.2.171:5002
CCTV高尔夫网球,http://60.26.181.87:4022/udp/225.1.2.169:5002
CCTV兵器科技,http://113.9.31.17:4000/rtp/229.58.190.29:5000
CCTV风云剧场,http://60.26.181.87:4022/udp/225.1.2.174:5002
