港台频道,#genre#
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-2.ctv
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-10.m3u8
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-16.m3u8
翡翠台,http://r.jdshipin.com/GeWKr
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-14.m3u8
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
东森超视,http://kkk.jjjj.jiduo.me/api.php
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-7.ctv
GOODTV经典音乐河,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch6-2.m3u8
东森超视,https://smart.pendy.dpdns.org/Smart.php
TVB星河,http://kkk.jjjj.jiduo.me/api.php
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
中视经典,https://stream1.freetv.fun/zhong-shi-jing-dian-1.ctv
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-15.m3u8
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php
中视经典,https://stream1.freetv.fun/zhong-shi-jing-dian-3.ctv
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-10.m3u8
TVB星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
民视,https://stream1.freetv.fun/min-shi-10.ctv
翡翠台,http://fm1077.serv00.net/Smart.php
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-17.m3u8
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-8.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-12.ctv
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php
凤凰资讯,https://stream1.freetv.fun/2a72335a63dd0749c5a32d1bf1b0c001a81a26cc81d7e94534791d36f2c87d7d.ctv
RTHK32,http://php.jdshipin.com:8880/TVOD/iptv.php
凤凰资讯,https://stream1.freetv.fun/a5857ad51b58a0f7a8c9cbdf291571692b0eed9f5ab2cfce97a211260533c0d8.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-9.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-2.m3u8
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
翡翠台,https://yang-1989.eu.org/live/TVB-Jade
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-7.ctv
凤凰香港,http://php.jdshipin.com:8880/smt.php
华视新闻,https://stream1.freetv.fun/hua-shi-2.m3u8
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-6.m3u8
