卫视频道,#genre#
深圳卫视,http://113.15.109.216:59901/tsfile/live/0126_1.m3u8
东方卫视,http://101.66.198.240:9901/tsfile/live/0018_1.m3u8
吉林卫视,http://61.156.228.12:8154/tsfile/live/0116_1.m3u8
广西卫视,http://113.57.93.165:9900/tsfile/live/1004_1.m3u8
宁夏卫视,http://58.57.40.22:9901/tsfile/live/1054_1.m3u8
天津卫视,http://115.149.139.141:10001/tsfile/live/1036_1.m3u8
深圳卫视,http://218.13.170.98:9901/tsfile/live/1005_1.m3u8
四川卫视,http://101.66.198.240:9901/tsfile/live/0123_1.m3u8
东南卫视,http://222.134.245.16:9901/tsfile/live/0137_1.m3u8
辽宁卫视,http://183.11.239.36:808/hls/47/index.m3u8
湖北卫视,http://221.2.148.205:8154/tsfile/live/0132_1.m3u8
浙江卫视,http://61.156.228.12:8154/tsfile/live/0124_1.m3u8
四川卫视,http://61.156.228.12:8154/tsfile/live/0123_1.m3u8
东方卫视,http://218.3.138.25:1111/tsfile/live/1020_1.m3u8
天津卫视,http://218.13.170.98:9901/tsfile/live/1008_1.m3u8
贵州卫视,http://218.13.170.98:9901/tsfile/live/1014_1.m3u8
重庆卫视,http://61.156.228.12:8154/tsfile/live/0142_1.m3u8
广西卫视,http://116.9.204.242:9901/tsfile/live/0113_1.m3u8
湖南卫视,http://221.226.4.10:9901/tsfile/live/1016_1.m3u8
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8
湖南卫视,http://221.2.148.205:8154/tsfile/live/0128_1.m3u8
新疆卫视,http://61.156.228.12:8154/tsfile/live/0110_1.m3u8
江苏卫视,http://116.9.204.242:9901/tsfile/live/0127_1.m3u8
浙江卫视,http://221.2.148.205:8154/tsfile/live/0124_1.m3u8
山东卫视,http://222.134.245.16:9901/tsfile/live/0131_1.m3u8
河北卫视,http://218.13.170.98:9901/tsfile/live/1016_1.m3u8
北京卫视,http://61.156.228.12:8154/tsfile/live/0122_1.m3u8
湖南卫视,http://113.15.109.216:59901/tsfile/live/0128_1.m3u8
江苏卫视,http://218.13.170.98:9901/tsfile/live/1003_1.m3u8
康巴卫视,http://111.202.12.159:8080/kYGHWzA/1000/live.m3u8
北京卫视,http://8.138.7.223/tv/bjws4k.m3u8
深圳卫视,http://221.2.148.205:8154/tsfile/live/0126_1.m3u8
