卫视综合,#genre#
日本新闻世界,http://61.221.215.25:8800/hls/51/index.m3u8
松原新闻综合[Geoblocked],https://stream2.jlntv.cn/sytv/sd/live.m3u8
民视新闻,http://4gtv.livednow.dpdns.org/li-litv-ftv07/index.m3u8
民视新闻,http://4gtv.livednow.dpdns.org/li-litv-ftv13/index.m3u8
民视新闻,http://4gtv.livednow.dpdns.org/litv-ftv07/index.m3u8
民视新闻,http://4gtv.livednow.dpdns.org/litv-ftv13/index.m3u8
民视新闻,http://docker.livednow.dpdns.org/li-litv-ftv13/index.m3u8
民视新闻,http://docker.livednow.dpdns.org/litv-ftv13/index.m3u8
民视新闻,http://tvbox6.icu/tv/smt.php
民视新闻,http://xg.52sw.top/play/4gtv/dxlitv.php
民视新闻,https://smart.pendy.dpdns.org/youtube.php
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-13.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-18.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-9.m3u8
民视新闻,https://www.youtube.com/watch
民视新闻HD,http://4gtv.livednow.dpdns.org/4gtv-4gtv002/index.m3u8
民视新闻影剧,http://4gtv.livednow.dpdns.org/li-litv-ftv09/index.m3u8
民视新闻影剧,http://4gtv.livednow.dpdns.org/litv-ftv09/index.m3u8
民视新闻新闻HD,https://stream1.freetv.fun/min-shi-xin-wen-17.m3u8
民视新闻新闻HD,https://stream1.freetv.fun/min-shi-xin-wen-3.m3u8
民视新闻新闻HD,https://stream1.freetv.fun/min-shi-xin-wen-5.m3u8
民视新闻湾,http://4gtv.livednow.dpdns.org/4gtv-4gtv001/index.m3u8
民视新闻湾,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv001/index.m3u8
民视新闻湾,http://tvbox6.icu/tv/smt.php
民视新闻第一,http://4gtv.livednow.dpdns.org/4gtv-4gtv003/index.m3u8
民视新闻第一,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv003/index.m3u8
民视新闻第一,http://tvbox6.icu/tv/smt.php
民视新闻综艺,http://4gtv.livednow.dpdns.org/4gtv-4gtv004/index.m3u8
民视新闻综艺,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv004/index.m3u8
民视第一新闻HD,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视第一新闻HD,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视第一新闻HD,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视第一新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视第一新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视第一新闻HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
江苏·张家港新闻HD,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
浙江民生资讯,http://ali-m-l.cztv.com/channels/lantian/fm996/128k.m3u8
深圳财经,http://183.11.239.36:808/hls/151/index.m3u8
澳视资讯,http://103.233.191.132:1935/ch1/ch1.live/playlist.m3u8
澳视资讯,http://103.233.191.133:1935/ch1/ch1.live/chunklist_w68545377.m3u8
澳视资讯,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
澳视资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
澳视资讯,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
