,rtp://239.5.1.136:5000
CCTV  50p,http://121.199.57.64:5000/udp/239.77.0.174:5146
CCTV  超,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV  超,https://tv.cry33.com/ys4k.php
CCTV  超,https://pi.0472.org/live/cctv4k.m3u8
CCTV  超,https://pi.0472.org/live/cctv8k.m3u8
CCTV  超,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV  超,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8
CCTV 01,http://ha.xushining.com:50000/udp/225.1.1.120:5002
CCTV 01,http://www.erbao1981.top:8188/udp/239.76.253.151:9000
CCTV 01东联,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8
CCTV 01北电,http://115.171.80.176:8888/udp/225.1.8.1:8008
CCTV 01北联,http://125.34.48.195:7077/rtp/239.3.1.129:8008
CCTV 01山东,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8
CCTV 02,http://ha.xushining.com:50000/udp/225.1.1.133:5002
CCTV 02,http://www.erbao1981.top:8188/udp/239.76.253.152:9000
CCTV 02东联,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8
CCTV 02北电,http://115.171.80.176:8888/udp/225.1.8.2:8084
CCTV 02北联,http://125.34.48.195:7077/rtp/239.3.1.60:8084
CCTV 02山东,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8
CCTV 03,http://ha.xushining.com:50000/udp/225.1.1.158:5002
CCTV 03,http://www.erbao1981.top:8188/udp/239.76.253.153:9000
CCTV 03东联,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8
CCTV 03北电,http://115.171.80.176:8888/udp/225.1.8.88:8000
CCTV 03北联,http://125.34.48.195:7077/rtp/239.3.1.172:8001
CCTV 03山东,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8
CCTV 04,http://ha.xushining.com:50000/udp/225.1.1.150:5002
CCTV 04,http://www.erbao1981.top:8188/udp/239.76.253.154:9000
CCTV 04东联,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8
CCTV 04北电,http://115.171.80.176:8888/udp/225.1.8.4:8092
CCTV 04北联,http://125.34.48.195:7077/rtp/239.3.1.105:8092
CCTV 04山东,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8
CCTV 05,http://ha.xushining.com:50000/udp/225.1.1.160:5002
CCTV 05,http://www.erbao1981.top:8188/udp/239.76.253.155:9000
CCTV 05东联,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8
CCTV 05北电,http://115.171.80.176:8888/udp/225.1.8.89:8000
CCTV 05北联,http://125.34.48.195:7077/rtp/239.3.1.173:8001
CCTV 05山东,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8
CCTV 06,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8
CCTV 06东联,http://123.129.70.178:9901/tsfile/live/0006_1.m3u8
CCTV 06北电,http://115.171.80.176:8888/udp/225.1.8.84:8000
CCTV 06北联,http://125.34.48.195:7077/rtp/239.3.1.174:8001
CCTV 06山东,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8
CCTV 07,http://ha.xushining.com:50000/udp/225.1.1.138:5002
CCTV 07,http://www.erbao1981.top:8188/udp/239.76.253.157:9000
CCTV 07东联,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8
CCTV 07北电,http://115.171.80.176:8888/udp/225.1.8.7:8104
CCTV 07北联,http://125.34.48.195:7077/rtp/239.3.1.61:8104
CCTV 07山东,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8
CCTV 08,http://ha.xushining.com:50000/udp/225.1.1.196:5002
CCTV 08,http://www.erbao1981.top:8188/udp/239.76.253.158:9000
CCTV 08东联,http://123.129.70.178:9901/tsfile/live/0008_1.m3u8
CCTV 08北电,http://115.171.80.176:8888/udp/225.1.8.85:8000
CCTV 08北联,http://125.34.48.195:7077/rtp/239.3.1.175:8001
CCTV 08山东,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8
CCTV 09,http://ha.xushining.com:50000/udp/225.1.1.119:5002
CCTV 09,http://www.erbao1981.top:8188/udp/239.76.253.159:9000
CCTV 09东联,http://123.129.70.178:9901/tsfile/live/0009_1.m3u8
CCTV 09北电,http://115.171.80.176:8888/udp/225.1.8.9:8112
CCTV 09北联,http://125.34.48.195:7077/rtp/239.3.1.62:8112
CCTV 09山东,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8
CCTV 3,http://120.76.248.139/live/bfgd/4200000062.m3u8
